leftwheel: 3947006397938 0 -0
rightwheel: 3947006447230 0 0
imu: 3947006581690 0.021838 -0.025986 1.01187 0.000152716 -0.00458149 -0.00305433
leftwheel: 3947006948318 0 -0
rightwheel: 3947007423739 0 0
imu: 3947007721825 0.022021 -0.025986 1.01162 0 -0.00458149 -0.00305433
leftwheel: 3947007967994 0 -0
rightwheel: 3947008429706 0 0
leftwheel: 3947008946544 0 -0
imu: 3947008871294 0.021838 -0.026108 1.01156 0.000305433 -0.00442877 -0.00305433
rightwheel: 3947009421673 0 0
leftwheel: 3947009949303 0 -0
imu: 3947009997137 0.021594 -0.026047 1.01162 0.000610865 -0.00427606 -0.00290161
rightwheel: 3947010413641 0 0
leftwheel: 3947010947687 0 -0
imu: 3947011146314 0.021228 -0.025864 1.01168 0.00106901 -0.00412334 -0.00290161
rightwheel: 3947011422816 0 0
leftwheel: 3947011946654 0 -0
imu: 3947012279449 0.021167 -0.025864 1.01211 0.00152716 -0.00442877 -0.00259618
rightwheel: 3947012418283 0 0
leftwheel: 3947012946496 0 -0
imu: 3947013424834 0.021472 -0.02562 1.01236 0.00198531 -0.00458149 -0.00229074
rightwheel: 3947013556960 0 0
leftwheel: 3947013946339 0 -0
rightwheel: 3947014419426 0 0
imu: 3947014559719 0.02135 -0.025742 1.01242 0.00213803 -0.00488692 -0.0018326
ofs: 3947014848471 0 0 246 83 0
leftwheel: 3947014945889 0 -0
rightwheel: 3947015419560 0 0
imu: 3947015696646 0.020923 -0.026169 1.01223 0.00198531 -0.00488692 -0.00152716
leftwheel: 3947015940190 0 -0
rightwheel: 3947016403235 0 0
imu: 3947016832281 0.020862 -0.026291 1.01162 0.00152716 -0.00442877 -0.00106901
leftwheel: 3947016942532 0 -0
rightwheel: 3947017403077 0 0
leftwheel: 3947017940916 0 -0
imu: 3947017968041 0.02135 -0.026352 1.01126 0.000916298 -0.00381791 -0.000916298
rightwheel: 3947018402628 0 0
leftwheel: 3947018941049 0 -0
imu: 3947019122176 0.021838 -0.02623 1.01126 0.000305433 -0.00320704 -0.000916298
rightwheel: 3947019420554 0 0
leftwheel: 3947019941475 0 -0
leftwheel: 3947020940734 0 -0
imu: 3947020257644 0.02196 -0.02623 1.0115 0 -0.00274889 -0.00122173
rightwheel: 3947020954442 0 0
imu: 3947021398071 0.021472 -0.025925 1.01138 -0.000305433 -0.00259618 -0.00167988
rightwheel: 3947021522614 0 0
leftwheel: 3947021942909 0 -0
rightwheel: 3947022420372 0 0
imu: 3947022539665 0.021106 -0.025498 1.01138 -0.000305433 -0.00274889 -0.00229074
leftwheel: 3947022940710 0 -0
ofs: 3947023275546 0 0 241 83 0
rightwheel: 3947023420214 0 0
imu: 3947023686216 0.021106 -0.02562 1.0115 -0.000152716 -0.00274889 -0.00290161
leftwheel: 3947023940552 0 -0
rightwheel: 3947024419181 0 0
leftwheel: 3947024943603 0 -0
imu: 3947024819351 0.020984 -0.025742 1.0115 0.000152716 -0.00244346 -0.00351248
rightwheel: 3947025419898 0 0
leftwheel: 3947025953070 0 -0
imu: 3947025961237 0.021228 -0.025864 1.0115 0.000305433 -0.00229074 -0.00397062
rightwheel: 3947026420032 0 0
leftwheel: 3947026971287 0 -0
imu: 3947027153872 0.021533 -0.026108 1.0115 0.000610865 -0.00229074 -0.00412334
rightwheel: 3947027420166 0 0
leftwheel: 3947027972004 0 -0
imu: 3947028277090 0.021655 -0.025803 1.01162 0.000458149 -0.00259618 -0.00427606
rightwheel: 3947028457342 0 0
leftwheel: 3947028972138 0 -0
rightwheel: 3947029408559 0 0
imu: 3947029472434 0.021472 -0.025498 1.01193 0.000458149 -0.00274889 -0.00427606
leftwheel: 3947029962147 0 -0
rightwheel: 3947030408401 0 0
